Vin,D,Fs,L,C,Rload,Vout_avg,Vout_ripple,Vout_theoretical,Gain_error_pct,Voltage_gain,IL_avg,IL_peak,IL_ripple,IL_rms,Iout_avg,Iin_avg,Power_in,Power_out,Efficiency,Settling_time,step_num
36.0,0.4,20000.0,4.9999999999999996e-05,4.7e-05,1.0,55.41882028509719,23.535819999999994,60.0,7.6352995248380156,1.5394116745860331,94.19403861339093,100.7959,14.18144000000001,94.4414125065022,55.41882028509719,94.19403861339093,3390.9853900820735,3071.2456417918997,90.57088982968354,0.0001922796576292974,1
40.0,0.4,20000.0,4.9999999999999996e-05,4.7e-05,1.0,61.644808836904254,26.175039999999996,66.66666666666667,7.532786744643626,1.5411202209226063,104.77385273939659,112.1047,15.756809999999987,105.04715697796014,61.644808836904254,104.77385273939659,4190.954109575863,3800.0824565384687,90.67344469021276,0.0002026593304291205,2
44.0,0.4,20000.0,4.9999999999999996e-05,4.7e-05,1.0,67.78844083223828,28.808350000000004,73.33333333333334,7.561217046947813,1.54064638255087,115.4187080157687,123.4229,17.332099999999997,115.71772662116037,67.78844083223828,115.4187080157687,5078.423152693823,4595.27271046587,90.48621141442953,0.0002034897092072337,3
48.0,0.4,20000.0,4.9999999999999996e-05,4.7e-05,1.0,73.76810677768167,31.45407,80.0,7.789866527897918,1.5368355578683681,126.18132337802767,134.7614,18.907500000000013,126.50576452135223,73.76810677768167,126.18132337802767,6056.703522145328,5441.733577563444,89.84645785725934,0.0001932632812300981,4
52.0,0.4,20000.0,4.9999999999999996e-05,4.7e-05,1.0,79.85888261993429,34.132949999999994,86.66666666666667,7.855135438537361,1.535747742691044,136.93884168674697,146.1524,20.482600000000005,137.29047794407313,79.85888261993429,136.93884168674697,7120.819767710842,6377.441133304444,89.56049080504428,0.000410524435152056,5
56.0,0.4,20000.0,4.9999999999999996e-05,4.7e-05,1.0,86.42790657723928,36.77552,93.33333333333334,7.398671524386491,1.5433554745935587,147.34078026828212,157.4857,22.05800000000002,147.72104068398488,86.42790657723928,147.34078026828212,8251.083695023799,7469.7830353240015,90.53093280133618,0.0001942099880518929,6
60.0,0.4,20000.0,4.9999999999999996e-05,4.7e-05,1.0,92.20231674119384,39.43047,100.0,7.79768325880616,1.5367052790198974,158.2770253111158,168.8656,23.633100000000013,158.68269036433577,92.20231674119384,158.2770253111158,9496.621518666949,8501.267212443434,89.5188588460959,0.0001947592820105386,7
36.0,0.5,20000.0,4.9999999999999996e-05,4.7e-05,1.0,65.7792222482487,34.86146,72.0,8.639969099654582,1.8272006180069083,134.06184689141855,142.1516,17.6062,134.32775956723728,65.7792222482487,134.06184689141855,4826.226488091068,4326.906079584497,89.65402038759129,0.0002509487777618091,8
40.0,0.5,20000.0,4.9999999999999996e-05,4.7e-05,1.0,72.78543630829867,38.78063,80.0,9.018204614626661,1.8196359077074669,149.32659656229472,158.123,19.561799999999977,149.62039915607198,72.78543630829867,149.32659656229472,5973.063862491789,5297.719738589402,88.69350572085374,0.000251670459128794,9
44.0,0.5,20000.0,4.9999999999999996e-05,4.7e-05,1.0,80.39230036317026,42.70215,88.0,8.645113223670155,1.827097735526597,164.2966741935484,174.1006,21.517199999999974,164.62108486792403,80.39230036317026,164.2966741935484,7229.053664516129,6462.921957682186,89.40204703978742,0.0002512739775843437,10
48.0,0.5,20000.0,4.9999999999999996e-05,4.7e-05,1.0,88.0916276923077,46.63083,96.0,8.237887820512817,1.8352422435897437,179.23390897435894,190.0894,23.472700000000003,179.5889443999493,88.0916276923077,179.23390897435894,8603.22763076923,7760.134869480152,90.20027369409851,0.000247982573666274,11
